Titre,Resume,Date,Url,Website,politique,géopolitique,sociologique,démographie,économie micro,économie macro,science,technologie,innovation,responsabilité,entreprise,Environnement,France,Europe,International,Monde,Industrie,Marque et enseigne,Services,Energie,Construction,Utilities,Mobilité
Patrick Boucheron : le temps impose parfois à l'historien d'entrer dans la mêlée,"Dans une interview accordée au journal Le Monde, l'historien Patrick Boucheron exprime son inquiétude face à la conjonction des crises climatique et politique, ainsi qu'à la montée de l'extrême droite. Selon lui, il est nécessaire de créer un ""contre-récit"" pour contrer ces menaces et éviter une spirale descendante. Il défend également le pouvoir des livres dans cette lutte. Boucheron souligne que la catastrophe politique est déjà présente, car elle est présentée comme inéluctable. Il met en garde contre la tentation de reculer sur les droits de l'homme pour se protéger du terrorisme. Enfin, il évoque la nécessité de résister à la montée du fascisme en France.",2023-11-03,https://www.lemonde.fr/idees/article/2023/11/03/patrick-boucheron-le-temps-impose-parfois-a-l-historien-d-entrer-dans-la-melee_6198065_3232.html,Le Monde,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"Denis Salas, magistrat : on peut douter de l'apport du procès d'Éric Dupond-Moretti au débat sur la responsabilité des gouvernants","Le magistrat Denis Salas remet en question l'apport du procès d'Éric Dupond-Moretti au débat sur la responsabilité des gouvernants. Selon lui, la Cour de justice de la République, devant laquelle le ministre de la Justice doit comparaître, est inefficace et ses décisions sont discordantes. Il souligne également l'absence de mécanisme de mise en jeu de la responsabilité politique des ministres en France. Salas appelle à la diffusion d'une culture déontologique pour lutter contre la défiance croissante envers les politiques.",2023-11-05,https://www.lemonde.fr/idees/article/2023/11/05/denis-salas-magistrat-on-peut-douter-de-l-apport-du-proces-d-eric-dupond-moretti-au-debat-sur-la-responsabilite-des-gouvernants_6198376_3232.html,Le Monde,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"John le Carré : « Le Tunnel aux pigeons » sur Apple TV+, un portrait inabouti du maître du roman d'espionnage","Le documentaire ""John le Carré : le tunnel aux pigeons"" sur Apple TV+ offre un portrait inabouti du maître du roman d'espionnage. Réalisé par Errol Morris, le film présente des faiblesses dans la mise en scène et ne révèle que peu d'informations sur la vie personnelle de l'écrivain britannique. Malgré l'élégance et l'humour de John le Carré, le documentaire laisse une sensation de déception quant à la réelle profondeur de l'interview. Disponible sur Apple TV+. (80 mots)",2023-11-04,https://www.lemonde.fr/culture/article/2023/11/04/john-le-carre-le-tunnel-aux-pigeons-sur-apple-tv-un-portrait-inabouti-du-maitre-du-roman-d-espionnage_6198220_3246.html,Le Monde,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
"Le monde des mathématiques : loin des stéréotypes, les mathématiciens","Dans l'ouvrage ""Le Monde des mathématiques"", dirigé par Pierre-Michel Menger et Pierre Verschueren, une vingtaine de spécialistes analysent l'environnement social des mathématiciens. Ils remettent en question l'image stéréotypée du mathématicien solitaire et mettent en évidence l'importance des interactions et de la compétition dans ce domaine. Les auteurs soulignent également l'élitisme et les normes strictes qui régissent la communauté mathématique. Cependant, ils soulignent que cette discipline est aujourd'hui fragilisée par la baisse du niveau des élèves et sa contribution à la reproduction des inégalités.",2023-11-05,https://www.lemonde.fr/livres/article/2023/11/05/le-monde-des-mathematiques-loin-des-stereotypes-les-mathematiciens_6198360_3260.html,Le Monde,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Be Water sur Arte TV : toute la complexité de Bruce Lee restituée,"Le documentaire ""Be Water !"" sur Arte.tv retrace la vie complexe de Bruce Lee, de son enfance à Hong Kong à ses succès cinématographiques à Hollywood. Réalisé par Bao Nguyen, le film déconstruit le mythe entourant l'acteur sino-américain et met en lumière les obstacles qu'il a dû surmonter. Il souligne également l'importance de la représentation des groupes minoritaires au cinéma. À travers des archives et des témoignages, ""Be Water !"" offre un portrait fascinant de Bruce Lee. Disponible sur Arte.tv. (80 mots)",2023-11-04,https://www.lemonde.fr/culture/article/2023/11/04/be-water-sur-arte-tv-toute-la-complexite-de-bruce-lee-restituee_6198200_3246.html,Le Monde,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
"Laure Murat : Entre ma mère et moi, quinze ans de silence absolu","Laure Murat, écrivaine et historienne, revient sur les quinze années de silence absolu entre elle et sa mère suite à la révélation de son homosexualité. Dans son dernier livre, ""Proust, roman familial"", elle raconte comment cette prise de conscience a été décisive dans sa vie. Elle décrit également le milieu aristocratique auquel elle appartient, dominé par des règles strictes et une incapacité à remettre en question les traditions.",2023-11-05,https://www.lemonde.fr/culture/article/2023/11/05/laure-murat-entre-ma-mere-et-moi-quinze-ans-de-silence-absolu_6198324_3246.html,Le Monde,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
"Au restaurant Bourrache, la focaccia : ce plat de la cuisine paysanne présente toute sa noblesse","Au restaurant Bourrache à Paris, le chef mexicain Indra Carrillo Perea revisite la focaccia, ce plat de la cuisine paysanne, et lui donne toute sa noblesse. Servie dans une coupe creuse en émail blanc, cette focaccia toscane, appelée aussi pappa al pomodoro, est préparée avec du pain rassis fait maison et de la pulpe de tomates fraîches. Accompagnée de tapenade et de graines de courges soufflées, elle offre une expérience gustative intense et symbolique.",2023-11-05,https://www.lemonde.fr/le-monde-passe-a-table/article/2023/11/05/au-restaurant-bourrache-la-focaccia-ce-plat-de-la-cuisine-paysanne-presente-toute-sa-noblesse_6198369_6082232.html,Le Monde,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
"Moteur, action : cinq escapades sur les lieux de tournage de comédies françaises","Cet article présente cinq lieux de tournage de comédies françaises à visiter. Parmi eux, on retrouve Villerville en Normandie, où a été tourné ""Un singe en hiver"" avec Jean Gabin et Jean-Paul Belmondo. À Marseille, le quartier de l'Estaque immortalisé dans ""Marius et Jeannette"" offre une ambiance authentique. La cité médiévale de Carcassonne a accueilli une partie du tournage des ""Visiteurs"". À Lille, la célèbre brasserie ""Au moulin d'or"" est le lieu où Kad Merad s'essaie à l'accent du Nord dans ""Bienvenue chez les Ch'tis"".",2023-11-05,https://www.lemonde.fr/m-styles/article/2023/11/05/moteur-action-cinq-escapades-sur-les-lieux-de-tournage-de-comedies-francaises_6198311_4497319.html,Le Monde,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
"À la découverte du soju, spiritueux star en Corée et illustre inconnu en France","Le soju, spiritueux coréen peu connu en France, est pourtant l'alcool le plus vendu au monde selon une étude britannique. Obtenu par distillation de riz fermenté, il est consommé par les Coréens de tous âges. Notre journaliste a dégusté cinq variétés de soju dans un restaurant coréen à Paris, découvrant des saveurs allant du pamplemousse au vieillissement en fût de chêne. Le soju est apprécié pour son prix abordable et sa facilité à boire.",2023-11-05,https://www.lemonde.fr/m-perso/article/2023/11/05/a-la-decouverte-du-soju-spiritueux-star-en-coree-et-illustre-inconnu-en-france_6198242_4497916.html,Le Monde,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Le boom de la K-food : soft power coréen des papilles,"La cuisine coréenne, popularisée par les séries télé et la K-pop, séduit de plus en plus les jeunes adultes français. Les restaurants et épiceries coréens fleurissent dans les villes, offrant des plats épicés, colorés et abordables. Le nombre de tables coréennes a doublé à Paris et en Ile-de-France, atteignant près de 300, sans compter les adresses en province. Les supermarchés coréens, tels que K-Mart et Ace Mart, proposent une large sélection de produits coréens, attirant une clientèle majoritairement composée de jeunes femmes. Cette tendance s'inscrit dans le soft power coréen, promu par le gouvernement sud-coréen depuis 2007.",2023-11-05,https://www.lemonde.fr/m-perso/article/2023/11/05/le-boom-de-la-k-food-soft-power-coreen-des-papilles_6198385_4497916.html,Le Monde,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
"Tal Bruttmann, historien : si l'enseignement de la Shoah vaccinait contre l'antisémitisme, on le saurait","Dans une interview accordée au journal Le Monde, l'historien Tal Bruttmann affirme que l'enseignement de la Shoah ne vaccine pas contre l'antisémitisme. Selon lui, bien que cet événement soit largement connu et évoqué, il reste difficilement compris par la société. Il souligne également que la transmission de la Shoah croît avec le temps, mais que l'antisémitisme persiste et est même décomplexé par les réseaux sociaux. Bruttmann estime donc qu'il est nécessaire de continuer à expliquer et à enseigner cet événement.",2023-11-03,https://www.lemonde.fr/culture/article/2023/11/03/tal-bruttmann-historien-si-l-enseignement-de-la-shoah-vaccinait-contre-l-antisemitisme-on-le-saurait_6197984_3246.html,Le Monde,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Les États-Unis enregistrent des succès dans la résolution de certains de leurs problèmes économiques les plus têtus,"Les États-Unis connaissent des succès dans la résolution de leurs problèmes économiques persistants, selon l'économiste Jason Furman. Malgré les prévisions pessimistes, l'économie américaine affiche une croissance annuelle de 4,9% au troisième trimestre, soutenue par la consommation des ménages. Le marché du travail est solide, avec un taux de chômage proche de son plus bas niveau depuis les années 1970. Cependant, l'inflation reste un défi, bien que son taux ait diminué ces derniers mois. Les États-Unis investissent également massivement dans les infrastructures et la lutte contre le changement climatique.",2023-11-03,https://www.lemonde.fr/idees/article/2023/11/03/les-etats-unis-enregistrent-des-succes-dans-la-resolution-de-certains-de-leurs-problemes-economiques-les-plus-tetus_6198031_3232.html,Le Monde,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Jean-Luc Mélenchon instaure explicitement un fossé entre le peuple français et Yaël Braun-Pivet,"Dans un article du journal Le Monde, l'historien et sociologue Pierre Birnbaum critique les propos de Jean-Luc Mélenchon à l'encontre de Yaël Braun-Pivet, présidente de l'Assemblée nationale. Birnbaum souligne que l'utilisation du terme ""campe"" par Mélenchon crée une opposition entre le peuple français et Braun-Pivet, insinuant ainsi qu'elle soutient le massacre en cours. Il rappelle également que ce terme est ancré dans une longue tradition antisémite française. Birnbaum met en garde contre les conséquences de tels discours qui ravivent les divisions nationales.",2023-11-02,https://www.lemonde.fr/idees/article/2023/11/02/jean-luc-melenchon-instaure-explicitement-un-fosse-entre-le-peuple-francais-et-yael-braun-pivet_6197830_3232.html,Le Monde,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"La France, figure d'exemplarité en matière de promotion des droits, est en deçà des autres pays européens dans le financement de l'aide aux victimes","La France est en retard par rapport aux autres pays européens en matière de financement de l'aide aux victimes, selon la fédération France Victimes. Alors que de plus en plus de victimes libèrent leur parole, il est essentiel d'assurer un accompagnement pluridisciplinaire et une réparation adéquate des préjudices. Cependant, le budget alloué aux associations d'aide aux victimes en France est insuffisant, avec seulement 7 euros par an et par victime. Pour combler ce retard, un budget de 80 millions d'euros est nécessaire.",2023-11-05,https://www.lemonde.fr/idees/article/2023/11/05/la-france-figure-d-exemplarite-en-matiere-de-promotion-des-droits-est-en-deca-des-autres-pays-europeens-dans-le-financement-de-l-aide-aux-victimes_6198348_3232.html,Le Monde,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
L'épisode de l'A69 devant relier Castres à Toulouse est-il révélateur d'une dégradation des rapports entre scientifiques et politiques?,"Des scientifiques dénoncent la dégradation des rapports avec les politiques suite à l'épisode de l'autoroute A69 reliant Castres à Toulouse. Lors d'une conférence organisée par des scientifiques toulousains contre le projet, les participants ont été aspergés de gaz lacrymogène par les gendarmes. Les scientifiques estiment que leurs avis ne sont pas pris en compte dans les décisions politiques, malgré leur participation à des rencontres avec les politiques pour discuter du changement climatique. Certains scientifiques ont même créé la branche française de Scientist Rebellion pour protester contre cette situation.",2023-11-05,https://www.lemonde.fr/idees/article/2023/11/05/l-episode-de-l-a69-devant-relier-castres-a-toulouse-est-il-revelateur-d-une-degradation-des-rapports-entre-scientifiques-et-politiques_6198313_3232.html,Le Monde,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
"Hugo Micheron, spécialiste du djihadisme : depuis le 7 octobre, l'EI et Al-Qaida cherchent à s'emparer de l'engouement déclenché par le Hamas contre Israël","Selon Hugo Micheron, spécialiste du djihadisme, la mouvance djihadiste cherche à exploiter l'engouement suscité par le Hamas contre Israël depuis le 7 octobre. Il met en garde contre une interprétation trop rapide de la situation actuelle à Gaza et souligne que la menace djihadiste ne se réduit pas aux attentats, mais repose sur une idéologie puissante et mobilisatrice. Il souligne également que le conflit israélo-palestinien occupe une place symbolique importante dans l'idéologie djihadiste, bien que le développement du djihadisme européen ne soit que peu lié à la Palestine.",2023-11-05,https://www.lemonde.fr/le-monde-des-religions/article/2023/11/05/hugo-micheron-specialiste-du-djihadisme-depuis-le-7-octobre-l-ei-et-al-qaida-cherchent-a-s-emparer-de-l-engouement-declenche-par-le-hamas-contre-israel_6198310_6038514.html,Le Monde,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
